policy,run_id,student_id,test_id,persona,total_marks,total_score,expected_marks,expected_score,negative_penalty_total,score_per_minute,marks_per_minute,total_time_sec,overtime_sec,overtime_violation,accuracy,n_questions,unique_topics,easy_count,medium_count,hard_count,negative_marking_enabled,negative_penalty_ratio
dkt_timebudget,1,49,s49_t20,High Achiever,114.0,94.0,98.45373162944266,74.56716453680332,20.0,1.6647298766103058,2.018927722697605,3387.937033655016,0.0,0,0.6,50,23,19,24,7,True,0.25
gkt_timebudget,1,49,s49_t20,High Achiever,90.0,64.0,99.41104546506354,75.76380683132942,26.0,1.1350289642400415,1.5961344809625588,3383.173576166024,0.0,0,0.48,50,23,20,23,7,True,0.25
bkt_timebudget,1,49,s49_t20,High Achiever,94.0,75.0,92.84713811191736,73.5589226398967,19.0,1.3267844258471513,1.6629031470617628,3391.658744506857,0.0,0,0.56,50,25,26,19,5,True,0.25
mars_timebudget,1,49,s49_t4,High Achiever,140.0,132.0,133.7151166886832,124.14389586085396,8.0,2.276226907087971,2.4141800529720903,3479.442218760272,0.0,0,0.84,50,28,20,28,2,True,0.25
dkt_timebudget,1,49,s49_t4,High Achiever,72.0,43.0,95.73578768968582,72.66973461210728,29.0,0.7446012188698834,1.2467741339216651,3464.941950962407,0.0,0,0.4,50,28,18,28,4,True,0.25
gkt_timebudget,1,49,s49_t4,High Achiever,92.0,68.0,98.4715577363968,76.08944717049599,24.0,1.1778414194515645,1.5935501557285874,3463.963766785991,0.0,0,0.5,50,27,18,28,4,True,0.25
bkt_timebudget,1,49,s49_t4,High Achiever,116.0,99.5,101.988602514789,81.98575314348624,16.5,1.7210358907460437,2.0064338022767942,3468.8410811770427,0.0,0,0.68,50,27,20,26,4,True,0.25
mars_timebudget,1,53,s53_t19,Strong Performer,120.0,113.5,111.41327308434326,102.7665913554291,6.5,1.9440470533401464,2.0553801445005955,3503.001631724634,0.0,0,0.8723404255319149,47,25,24,23,0,True,0.25
dkt_timebudget,1,53,s53_t19,Strong Performer,74.0,53.0,81.17869462569556,61.97336828211944,21.0,0.8633159930290313,1.2053845940405343,3683.471667011113,83.47166701111246,1,0.4897959183673469,49,25,25,23,1,True,0.25
gkt_timebudget,1,53,s53_t19,Strong Performer,86.0,68.0,81.70434530576071,62.63043163220088,18.0,1.1076507080372475,1.4008523660471073,3683.471667011113,83.47166701111246,1,0.5102040816326531,49,25,25,23,1,True,0.25
bkt_timebudget,1,53,s53_t19,Strong Performer,84.0,69.0,79.87040974529363,63.838012181617,15.0,1.272082811369072,1.548622552971044,3254.505102183048,0.0,0,0.6136363636363636,44,24,22,21,1,True,0.25
mars_timebudget,1,53,s53_t9,Strong Performer,56.0,51.0,54.127875825736766,48.65984478217096,5.0,1.7762893849561026,1.9504354030890536,1722.6922740832692,0.0,0,0.782608695652174,23,16,9,14,0,True,0.25
dkt_timebudget,1,53,s53_t9,Strong Performer,52.0,33.0,65.09812137478113,49.37265171847642,19.0,0.8939328106300806,1.4086213985686118,2214.931565834813,0.0,0,0.4,30,19,9,15,6,True,0.25
gkt_timebudget,1,53,s53_t9,Strong Performer,58.0,40.5,66.70701655739069,51.38377069673837,17.5,1.0970993585005533,1.57115463686499,2214.931565834813,0.0,0,0.5,30,19,9,15,6,True,0.25
